word,count,type,oxford
fuck,407,noun,other
okay,121,adj,other
shit,117,noun,other
soprano,75,noun,other
ass,44,noun,other
meadow,37,noun,other
mom,29,noun,other
prick,24,verb,other
psychiatrist,24,noun,other
feeling,22,adj,other
duck,21,verb,other
running,16,noun,other
dick,15,noun,other
arthur,15,noun,other
hare,13,noun,other
seem,13,verb,other
whack,13,verb,other
motel,13,noun,other
men,12,noun,other
nephew,12,noun,other
grandma,12,noun,other
dye,12,verb,other
piss,12,noun,other
honey,12,noun,other
bust,11,verb,other
avenue,9,noun,other
lye,9,noun,other
sausage,9,noun,other
neighborhood,9,noun,other
hunter,9,noun,other
daddy,8,noun,other
pork,8,noun,other
bigger,8,adj,other
godfather,8,noun,other
doughnut,8,noun,other
fidget,8,verb,other
jack,8,noun,other
center,7,verb,other
someplace,7,noun,other
favor,7,verb,other
neighbor,6,noun,other
wiseguy,6,noun,other
card,6,noun,other
garbage,6,noun,other
damn,6,noun,other
med,6,noun,other
favorite,6,adj,other
grandson,6,noun,other
rack,6,verb,other
babe,5,noun,other
degenerate,5,verb,other
grove,5,noun,other
ground,5,verb,other
clone,5,verb,other
mobster,5,noun,other
coke,5,noun,other
salute,5,verb,other
hustle,5,verb,other
rap,5,noun,other
crap,5,noun,other
biggest,5,adj,other
bribe,5,verb,other
jealous,5,adj,other
mama,5,noun,other
shove,4,verb,other
babble,4,verb,other
offense,4,noun,other
sweat,4,verb,other
cappuccino,4,noun,other
trash,4,noun,other
bathtub,4,noun,other
collar,4,noun,other
freak,4,noun,other
stubborn,4,adj,other
scam,4,noun,other
indict,4,verb,other
god,4,noun,other
rave,4,verb,other
behavior,4,noun,other
cutting,4,adj,other
compliment,4,verb,other
chorus,4,noun,other
gravy,4,noun,other
bull,4,noun,other
jerk,4,verb,other
meeting,4,noun,other
champagne,4,noun,other
slit,4,verb,other
beginning,4,adj,other
supper,3,noun,other
insane,3,adj,other
sushi,3,noun,other
spit,3,verb,other
rib,3,verb,other
doorbell,3,noun,other
brandy,3,noun,other
lobster,3,noun,other
pastry,3,noun,other
pinch,3,verb,other
setting,3,noun,other
frank,3,adj,other
fir,3,noun,other
hijack,3,verb,other
penis,3,noun,other
macaroon,3,noun,other
ignorant,3,adj,other
guinea,3,noun,other
cripple,3,verb,other
polish,3,verb,other
gum,3,noun,other
patio,3,noun,other
newsstand,3,noun,other
ham,3,noun,other
toast,3,verb,other
barber,3,noun,other
amusement,3,noun,other
veal,3,noun,other
planning,3,noun,other
punishable,3,adj,other
pizza,3,noun,other
handsome,3,adj,other
brunch,3,noun,other
resent,3,verb,other
barn,3,noun,other
wound,3,verb,other
haul,3,verb,other
communion,3,noun,other
doom,3,verb,other
percent,3,noun,other
jewelry,3,noun,other
jolt,3,verb,other
cock,2,verb,other
rash,2,adj,other
killer,2,noun,other
olive,2,noun,other
brew,2,verb,other
ale,2,noun,other
wedding,2,noun,other
slipper,2,noun,other
hop,2,verb,other
doc,2,noun,other
dysfunction,2,noun,other
rag,2,noun,other
doggie,2,noun,other
pie,2,noun,other
mushroom,2,noun,other
reparation,2,noun,other
makeup,2,noun,other
meatball,2,noun,other
popping,2,adj,other
whale,2,noun,other
bungalow,2,noun,other
corn,2,noun,other
recorder,2,noun,other
lover,2,noun,other
heady,2,adj,other
smother,2,verb,other
gray,2,adj,other
bathrobe,2,noun,other
sap,2,verb,other
neurological,2,adj,other
stove,2,noun,other
gossip,2,verb,other
sneak,2,verb,other
hospitalize,2,verb,other
understood,2,adj,other
sub,2,noun,other
theater,2,noun,other
laundry,2,noun,other
mule,2,noun,other
steak,2,noun,other
accord,2,verb,other
cough,2,verb,other
moron,2,noun,other
eggplant,2,noun,other
parole,2,noun,other
drawer,2,noun,other
homicide,2,noun,other
barbecue,2,verb,other
scrap,2,verb,other
zebra,2,noun,other
pea,2,noun,other
dial,2,verb,other
starter,2,noun,other
artichoke,2,noun,other
pathetic,2,adj,other
exhaust,2,verb,other
tub,2,noun,other
straw,2,noun,other
wreck,2,verb,other
skinny,2,adj,other
refresh,2,verb,other
beep,2,verb,other
mozzarella,2,noun,other
dime,2,noun,other
envy,2,verb,other
labor,2,verb,other
couch,2,verb,other
candy,2,noun,other
whistle,2,verb,other
moody,2,adj,other
booty,2,noun,other
smith,2,noun,other
ungrateful,2,adj,other
canoe,2,noun,other
lightning,2,noun,other
rainy,2,adj,other
dim,2,verb,other
lieutenant,2,noun,other
buzz,2,verb,other
liquor,2,noun,other
statute,2,noun,other
hamburger,2,noun,other
granddaughter,2,noun,other
thunder,2,verb,other
mock,2,verb,other
smack,2,verb,other
decency,2,noun,other
flush,2,verb,other
grease,2,verb,other
slender,2,adj,other
vomit,2,verb,other
ranger,2,noun,other
wren,2,noun,other
moan,2,verb,other
salami,2,noun,other
robe,2,noun,other
underneath,2,noun,other
jar,2,verb,other
lounge,2,verb,other
lobotomy,2,noun,other
semester,2,noun,other
younger,2,adj,other
dread,2,verb,other
cowboy,2,noun,other
crib,2,noun,other
counselor,2,noun,other
unstable,2,adj,other
trunk,2,noun,other
patty,2,noun,other
driveway,2,noun,other
madam,1,noun,other
deepen,1,verb,other
nylon,1,noun,other
jeopardize,1,verb,other
forsake,1,verb,other
sideburns,1,noun,other
dupe,1,verb,other
pave,1,verb,other
stressful,1,adj,other
moldy,1,adj,other
padded,1,adj,other
basil,1,noun,other
ounce,1,noun,other
downward,1,adj,other
squirrel,1,noun,other
enjoyment,1,noun,other
questionable,1,adj,other
insignificant,1,adj,other
nasal,1,adj,other
maid,1,noun,other
savor,1,verb,other
oversight,1,noun,other
peninsula,1,noun,other
disgust,1,verb,other
filth,1,noun,other
grumpy,1,adj,other
vanilla,1,noun,other
fitting,1,adj,other
poach,1,verb,other
sober,1,adj,other
manatee,1,noun,other
gabby,1,adj,other
humor,1,noun,other
dribble,1,verb,other
defense,1,noun,other
greedy,1,adj,other
